tid,主分区,分区名称,代号,url路由
1,动画,动画(主分区),douga,https://www.bilibili.com/v/douga
3,音乐,音乐(主分区),music,https://www.bilibili.com/v/music
4,游戏,游戏(主分区),game,https://www.bilibili.com/v/game
5,娱乐,娱乐(主分区),ent,https://www.bilibili.com/v/ent
11,电视剧,电视剧(主分区),tv,https://www.bilibili.com/tv
13,番剧,番剧(主分区),anime,https://www.bilibili.com/anime
17,游戏,单机游戏,stand_alone,https://www.bilibili.com/v/game/stand_alone
19,游戏,Mugen,mugen,https://www.bilibili.com/v/game/mugen
20,舞蹈,宅舞,otaku,https://www.bilibili.com/v/dance/otaku
21,生活,日常,daily,https://www.bilibili.com/v/life/daily
22,鬼畜,鬼畜调教,guide,https://www.bilibili.com/v/kichiku/guide
23,电影,电影(主分区),movie,https://www.bilibili.com/movie
24,动画,MAD·AMV,mad,https://www.bilibili.com/v/douga/mad
25,动画,MMD·3D,mmd,https://www.bilibili.com/v/douga/mmd
26,鬼畜,音MAD,mad,https://www.bilibili.com/v/kichiku/mad
27,动画,综合,other,https://www.bilibili.com/v/douga/other
28,音乐,原创音乐,original,https://www.bilibili.com/v/music/original
29,音乐,音乐现场,live,https://www.bilibili.com/v/music/live
30,音乐,VOCALOID·UTAU,vocaloid,https://www.bilibili.com/v/music/vocaloid
31,音乐,翻唱,cover,https://www.bilibili.com/v/music/cover
32,番剧,完结动画,finish,https://www.bilibili.com/v/anime/finish
33,番剧,连载动画,serial,https://www.bilibili.com/v/anime/serial
36,知识,知识(主分区),knowledge,https://www.bilibili.com/v/knowledge
47,动画,短片·手书·配音,voice,https://www.bilibili.com/v/douga/voice
51,番剧,资讯,information,https://www.bilibili.com/v/anime/information
59,音乐,演奏,perform,https://www.bilibili.com/v/music/perform
65,游戏,网络游戏,online,https://www.bilibili.com/v/game/online
71,娱乐,综艺,variety,https://www.bilibili.com/v/ent/variety
75,动物圈,动物综合,animal_composite,https://www.bilibili.com/v/animal/animal_composite
76,美食,美食制作,make,https://www.bilibili.com/v/food/make
85,影视,短片,shortfilm,https://www.bilibili.com/v/cinephile/shortfilm
86,动画,特摄,tokusatsu,https://www.bilibili.com/v/douga/tokusatsu
95,科技,数码,digital,https://www.bilibili.com/v/tech/digital
119,鬼畜,鬼畜(主分区),kichiku,https://www.bilibili.com/v/kichiku
121,游戏,GMV,gmv,https://www.bilibili.com/v/game/gmv
122,知识,野生技术协会,skill,https://www.bilibili.com/v/knowledge/skill
124,知识,社科·法律·心理,social_science,https://www.bilibili.com/v/knowledge/social_science
126,鬼畜,人力VOCALOID,manual_vocaloid,https://www.bilibili.com/v/kichiku/manual_vocaloid
127,鬼畜,教程演示,course,https://www.bilibili.com/v/kichiku/course
129,舞蹈,舞蹈(主分区),dance,https://www.bilibili.com/v/dance
130,音乐,音乐综合,other,https://www.bilibili.com/v/music/other
136,游戏,音游,music,https://www.bilibili.com/v/game/music
137,娱乐,明星,star,https://www.bilibili.com/v/ent/star
138,生活,搞笑,funny,https://www.bilibili.com/v/life/funny
145,电影,欧美电影,west,https://www.bilibili.com/v/movie/west
146,电影,日本电影,japan,https://www.bilibili.com/v/movie/japan
147,电影,华语电影,chinese,https://www.bilibili.com/v/movie/chinese
152,番剧,官方延伸,offical,https://www.bilibili.com/v/anime/offical
153,国创,国产动画,chinese,https://www.bilibili.com/v/guochuang/chinese
154,舞蹈,舞蹈综合,three_d,https://www.bilibili.com/v/dance/three_d
155,时尚,时尚(主分区),fashion,https://www.bilibili.com/v/fashion
156,舞蹈,舞蹈教程,demo,https://www.bilibili.com/v/dance/demo
157,时尚,美妆,makeup,https://www.bilibili.com/v/fashion/makeup
158,时尚,服饰,clothing,https://www.bilibili.com/v/fashion/clothing
159,时尚,T台,catwalk,https://www.bilibili.com/v/fashion/catwalk
160,生活,生活(主分区),life,https://www.bilibili.com/v/life
161,生活,手工,handmake,https://www.bilibili.com/v/life/handmake
162,生活,绘画,painting,https://www.bilibili.com/v/life/painting
164,运动,健身,aerobics,https://www.bilibili.com/v/sports/aerobics
164,时尚,健身,aerobics,https://www.bilibili.com/v/fashion/aerobics
167,国创,国创(主分区),guochuang,https://www.bilibili.com/guochuang
168,国创,国产原创相关,original,https://www.bilibili.com/v/guochuang/original
169,国创,布袋戏,puppetry,https://www.bilibili.com/v/guochuang/puppetry
170,国创,资讯,information,https://www.bilibili.com/v/guochuang/information
171,游戏,电子竞技,esports,https://www.bilibili.com/v/game/esports
172,游戏,手机游戏,mobile,https://www.bilibili.com/v/game/mobile
173,游戏,桌游棋牌,board,https://www.bilibili.com/v/game/board
176,汽车,汽车生活,life,https://www.bilibili.com/v/car/life
176,生活,汽车,automobile,https://www.bilibili.com/v/life/automobile
177,纪录片,纪录片(主分区),documentary,https://www.bilibili.com/documentary
178,纪录片,科学·探索·自然,science,https://www.bilibili.com/v/documentary/science
179,纪录片,军事,military,https://www.bilibili.com/v/documentary/military
181,影视,影视(主分区),cinephile,https://www.bilibili.com/v/cinephile
182,影视,影视杂谈,cinecism,https://www.bilibili.com/v/cinephile/cinecism
183,影视,影视剪辑,montage,https://www.bilibili.com/v/cinephile/montage
184,影视,预告·资讯,trailer_info,https://www.bilibili.com/v/cinephile/trailer_info
185,电视剧,国产剧,mainland,https://www.bilibili.com/v/tv/mainland
187,电视剧,海外剧,overseas,https://www.bilibili.com/v/tv/overseas
188,科技,科技(主分区),tech,https://www.bilibili.com/v/tech
193,音乐,MV,mv,https://www.bilibili.com/v/music/mv
195,国创,动态漫·广播剧,motioncomic,https://www.bilibili.com/v/guochuang/motioncomic
198,舞蹈,街舞,hiphop,https://www.bilibili.com/v/dance/hiphop
199,舞蹈,明星舞蹈,star,https://www.bilibili.com/v/dance/star
200,舞蹈,中国舞,china,https://www.bilibili.com/v/dance/china
201,知识,科学科普,science,https://www.bilibili.com/v/knowledge/science
202,资讯,资讯(主分区),information,https://www.bilibili.com/v/information
203,资讯,热点,hotspot,https://www.bilibili.com/v/information/hotspot
204,资讯,环球,global,https://www.bilibili.com/v/information/global
205,资讯,社会,social,https://www.bilibili.com/v/information/social
206,资讯,综合,multiple,https://www.bilibili.com/v/information/multiple
207,知识,财经商业,business,https://www.bilibili.com/v/knowledge/finance
208,知识,校园学习,campus,https://www.bilibili.com/v/knowledge/campus
209,知识,职业职场,career,https://www.bilibili.com/v/knowledge/career
210,动画,手办·模玩,garage_kit,https://www.bilibili.com/v/douga/garage_kit
211,美食,美食(主分区),food,https://www.bilibili.com/v/food
212,美食,美食侦探,detective,https://www.bilibili.com/v/food/detective
213,美食,美食测评,measurement,https://www.bilibili.com/v/food/measurement
214,美食,田园美食,rural,https://www.bilibili.com/v/food/rural
215,美食,美食记录,record,https://www.bilibili.com/v/food/record
216,鬼畜,鬼畜剧场,theatre,https://www.bilibili.com/v/kichiku/theatre
217,动物圈,动物圈,animal(主分区),https://www.bilibili.com/v/animal
218,动物圈,喵星人,cat,https://www.bilibili.com/v/animal/cat
219,动物圈,汪星人,dog,https://www.bilibili.com/v/animal/dog
220,动物圈,大熊猫,panda,https://www.bilibili.com/v/animal/panda
221,动物圈,野生动物,wild_animal,https://www.bilibili.com/v/animal/wild_animal
222,动物圈,爬宠,reptiles,https://www.bilibili.com/v/animal/reptiles
223,汽车,汽车(主分区),car,https://www.bilibili.com/v/car
225,汽车,汽车极客,geek,https://www.bilibili.com/v/car/geek
226,汽车,智能出行,smart,https://www.bilibili.com/v/car/smart
227,汽车,购车攻略,strategy,https://www.bilibili.com/v/car/strategy
228,知识,人文历史,humanity_history,https://www.bilibili.com/v/knowledge/humanity_history
229,知识,设计·创意,design,https://www.bilibili.com/v/knowledge/design
230,科技,软件应用,application,https://www.bilibili.com/v/tech/application
231,科技,计算机技术,computer_tech,https://www.bilibili.com/v/tech/computer_tech
232,科技,工业·工程·机械,industry,https://www.bilibili.com/v/tech/industry
233,科技,极客DIY,diy,https://www.bilibili.com/v/tech/diy
234,运动,运动(主分区),sports,https://www.bilibili.com/v/sports
235,运动,篮球·足球,basketballfootball,https://www.bilibili.com/v/sports/basketballfootball
236,运动,竞技体育,athletic,https://www.bilibili.com/v/sports/culture
237,运动,运动文化,culture,https://www.bilibili.com/v/sports/culture
238,运动,运动综合,comprehensive,https://www.bilibili.com/v/sports/comprehensive
239,生活,家居房产,home,https://www.bilibili.com/v/life/home
